Month,commercial users,residential users,industrial users
01/11/2023,19306577,141052683,1067082
01/10/2023,19094390,141275989,1085349
01/09/2023,19336543,140885018,1091596
01/08/2023,19371824,141680588,1108708
01/07/2023,19325933,140708682,1090062
01/06/2023,19362003,140955330,1096944
01/05/2023,19348969,140791294,1089015
01/04/2023,19151769,139823297,1059778
01/03/2023,19374849,140959184,1072433
01/02/2023,19188722,139611057,1056440
01/01/2023,19289178,140160622,1064974
01/12/2022,19343829,140760019,1064970
01/11/2022,19291427,140228398,1047225
01/10/2022,19294667,140334114,1059659
01/09/2022,19290292,140218329,1073550
01/08/2022,19319344,140549888,1080715
01/07/2022,19233742,139632048,1063023
01/06/2022,19313913,140050386,1068161
01/05/2022,19248194,139712967,1048800
01/04/2022,19174040,139134445,1031667
01/03/2022,19352519,140257849,1033938
01/02/2022,19081239,138676166,1009083
01/01/2022,19145510,138694350,1018257
01/12/2021,19345225,139720469,1045799
01/11/2021,19127343,138224422,1021133
01/10/2021,19194629,138487361,1020891
01/09/2021,19181762,138912493,1043313
01/08/2021,19174446,138846236,1045969
01/07/2021,19172792,138712738,1033826
01/06/2021,19185294,138706123,1038032
01/05/2021,19061795,137887032,1014231
01/04/2021,19071189,138082070,1014178
01/03/2021,19074182,138704308,1011356
01/02/2021,18722180,136159824,981871
01/01/2021,18915626,137260791,995987
01/12/2020,18995400,137973904,1013820
01/11/2020,18836665,136773523,978625
01/10/2020,18919047,137301842,993821
01/09/2020,18867545,137124272,1010883
01/08/2020,18827402,136834443,1009473
01/07/2020,18916992,137441000,1020510
01/06/2020,18861854,136740348,1007108
01/05/2020,18763333,136178906,985155
01/04/2020,18827108,136344191,984766
01/03/2020,18871191,136372119,973805
01/02/2020,18691075,135215196,956000
01/01/2020,18806506,135882652,973566
01/12/2019,18836882,136250376,968966
01/11/2019,18705003,135340521,945483
01/10/2019,18821137,136260010,972507
01/09/2019,18691319,135291081,975412
01/08/2019,18728398,135635335,983435
01/07/2019,18735687,135468046,988365
01/06/2019,18637617,135074042,961090
01/05/2019,18708360,135405612,954838
01/04/2019,18640407,134920415,933498
01/03/2019,18635772,135170833,919551
01/02/2019,18539519,133333741,914361
01/01/2019,18650138,134845133,932601
01/12/2018,18682871,134524109,835705
01/11/2018,18636211,134155451,823868
01/10/2018,18717481,134377594,844839
01/09/2018,18594023,133791062,844187
01/08/2018,18686099,134433813,866859
01/07/2018,18623955,133883159,860910
01/06/2018,18615355,133935311,858759
01/05/2018,18613438,134121801,851023
01/04/2018,18526543,133417773,824075
01/03/2018,18574947,133852602,822275
01/02/2018,18440673,132923513,811940
01/01/2018,18552003,133302446,838797
01/12/2017,18423574,133321574,833004
01/11/2017,18430836,133093866,830580
01/10/2017,18435264,133126174,846549
01/09/2017,18354295,132461398,845776
01/08/2017,18437269,133013535,867301
01/07/2017,18354033,132345053,851042
01/06/2017,18402963,132866506,856760
01/05/2017,18375746,132559481,847817
01/04/2017,18225046,131902166,821828
01/03/2017,18384031,132851616,836953
01/02/2017,18199541,131437253,817642
01/01/2017,18289356,131977307,828464
01/12/2016,18244491,131859453,832403
01/11/2016,18183746,131325418,824510
01/10/2016,18203386,131318899,838393
01/09/2016,18207555,131374997,846336
01/08/2016,18227261,131346501,859607
01/07/2016,18130289,131086905,847849
01/06/2016,18174804,131282771,853646
01/05/2016,18133949,131002108,840080
01/04/2016,18064005,130452160,823879
01/03/2016,18185531,131333340,835990
01/02/2016,18022657,130114828,825209
01/01/2016,18001806,130327243,829287
01/12/2015,18142822,130854255,837966
01/11/2015,17995604,129722466,825647
01/10/2015,18087524,130277004,851293
01/09/2015,18059742,130004031,851435
01/08/2015,18013711,129696710,849033
01/07/2015,18099332,130322224,860552
01/06/2015,18042403,129833960,851608
01/05/2015,17675632,129550528,828518
01/04/2015,17955904,129607349,823833
01/03/2015,17975571,129858190,823107
01/02/2015,17854428,128836192,808801
01/01/2015,17924312,129177100,814536
01/12/2014,17988765,129655750,843760
01/11/2014,17827317,128640689,824992
01/10/2014,17993992,129521707,860902
01/09/2014,17922008,128788358,856589
01/08/2014,17889944,128924140,856377
01/07/2014,17937858,129055781,865715
01/06/2014,17810020,128562601,838886
01/05/2014,17834341,128428131,840580
01/04/2014,17795240,128347095,829796
01/03/2014,17795435,128398293,817663
01/02/2014,17694926,127760935,810164
01/01/2014,17756185,128080045,824418
01/12/2013,17738970,128622650,825278
01/11/2013,17603224,127563046,816115
01/10/2013,17739281,128616444,844120
01/09/2013,17603069,127680228,837614
01/08/2013,17697816,128138737,856327
01/07/2013,17727832,127940694,853955
01/06/2013,17623026,127665705,841448
01/05/2013,17701109,128031040,836614
01/04/2013,17950153,126863523,826221
01/03/2013,17647058,127694574,814884
01/02/2013,17526676,126911590,807361
01/01/2013,17595375,127595060,820869
01/12/2012,17788403,126747576,742028
01/11/2012,17722313,126862992,741383
01/10/2012,17798407,127148704,736043
01/09/2012,17684165,126453450,739162
01/08/2012,17831822,127521015,733000
01/07/2012,17727045,126749730,748278
01/06/2012,17700715,126998376,742139
01/05/2012,17833328,127543688,739556
01/04/2012,17689298,126680967,724611
01/03/2012,17720807,126890820,719346
01/02/2012,17613157,126147190,703152
01/01/2012,17637378,126242521,719433
01/12/2011,17695148,126593788,735774
01/11/2011,17653512,126251331,739648
01/10/2011,17638704,126127824,749637
01/09/2011,17687829,126386997,757463
01/08/2011,17748622,126732832,761674
01/07/2011,17645184,126153422,758421
01/06/2011,17684700,126411464,714869
01/05/2011,17612428,126064856,704871
01/04/2011,17566829,125795504,696394
01/03/2011,17682989,126538410,735610
01/02/2011,17497503,125324801,689287
01/01/2011,17541692,125335632,691024
01/12/2010,17764826,126403956,724536
01/11/2010,17669249,125845114,717756
01/10/2010,17706939,126056303,730877
01/09/2010,17713203,126015980,803075
01/08/2010,17710653,125990509,807688
01/07/2010,17741672,126011081,810800
01/06/2010,17670404,125728387,739717
01/05/2010,17610528,125349845,723075
01/04/2010,17689371,125730839,718573
01/03/2010,17684381,125732549,776722
01/02/2010,17545240,124842128,708767
01/01/2010,17583534,124906507,710700
01/12/2009,17683477,125890006,718092
01/11/2009,17536081,124998344,717806
01/10/2009,17653521,125502921,731920
01/09/2009,17547505,125135312,790286
01/08/2009,17547055,125197488,794447
01/07/2009,17603850,125460675,794335
01/06/2009,17600995,125376280,791686
01/05/2009,17496203,124841560,732457
01/04/2009,17584748,125347278,753109
01/03/2009,17547141,125186985,797660
01/02/2009,17456977,124706213,727141
01/01/2009,17488241,124862256,741026
01/12/2008,17702401,125705084,736158
01/11/2008,17489157,124567523,744598
01/10/2008,17648493,125459531,757762
01/09/2008,17626884,125080299,823339
01/08/2008,17610993,125219747,827386
01/07/2008,17640732,125161249,826573
01/06/2008,17631160,125006630,765535
01/05/2008,17561292,124847257,757785
01/04/2008,17530143,124835939,751426
01/03/2008,17509854,124880315,807188
01/02/2008,17465070,124603700,746771
01/01/2008,17571147,125087168,753288